Date,Open Balances,Closed,New Cases
5/12,1864,483,480
6/12,1744,502,471
7/12,1589,543,488
8/12,1471,439,471
9/12,1503,0,225
10/12,1728,0,200
11/12,1818,485,537
12/12,1746,451,448
13/12,1683,411,431
14/12,1642,449,458
15/12,1553,438,403
16/12,1518,3,269
17/12,1784,11,210
18/12,1875,354,523
19/12,1961,503,490
20/12,1855,421,450
21/12,1783,452,446
22/12,1751,468,420
23/12,1603,0,207
24/12,1896,0,148
25/12,1910,7,163
26/12,2059,528,507
27/12,1851,440,514
28/12,1831,447,498
29/12,1780,426,401
30/12,1755,0,232
31/12,1987,0,186
