Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup,,,,,,,,,,,,,,,,,,
24-Feb (Fri),37,0,0,0,0,0,,,,,,,,,,,,,,,,,,
25-Feb (Sat),5,0,22,0,0,0,,,,,,,,,,,,,,,,,,
26-Feb (Sun),13,0,11,0,0,0,,,,,,,,,,,,,,,,,,
27-Feb (Mon),28,0,14,0,0,0,,,,,,,,,,,,,,,,,,
28-Feb (Tue),34,0,23,0,0,0,,,,,,,,,,,,,,,,,,
1-Mar (Wed),30,0,19,0,0,0,,,,,,,,,,,,,,,,,,
2-Mar (Thu),27,0,6,0,0,0,,,,,,,,,,,,,,,,,,
3-Mar (Fri),33,0,6,0,0,0,,,,,,,,,,,,,,,,,,
4-Mar (Sat),11,0,36,0,0,0,,,,,,,,,,,,,,,,,,
5-Mar (Sun),1,0,32,0,0,0,,,,,,,,,,,,,,,,,,
6-Mar (Mon),31,0,33,16,0,0,,,,,,,,,,,,,,,,,,
7-Mar (Tue),33,0,32,12,0,0,,,,,,,,,,,,,,,,,,
8-Mar (Wed),28,0,18,24,0,0,,,,,,,,,,,,,,,,,,
9-Mar (Thu),37,0,0,224,0,0,,,,,,,,,,,,,,,,,,
10-Mar (Fri),41,0,0,78,0,0,,,,,,,,,,,,,,,,,,
11-Mar (Sat),6,0,42,0,0,0,,,,,,,,,,,,,,,,,,
12-Mar (Sun),6,0,30,0,0,0,,,,,,,,,,,,,,,,,,
13-Mar (Mon),39,0,0,135,0,0,,,,,,,,,,,,,,,,,,
14-Mar (Tue),37,0,0,0,0,0,,,,,,,,,,,,,,,,,,
15-Mar (Wed),40,0,11,0,0,0,,,,,,,,,,,,,,,,,,
16-Mar (Thu),34,0,0,0,0,0,,,,,,,,,,,,,,,,,,
17-Mar (Fri),44,0,0,0,0,0,,,,,,,,,,,,,,,,,,
18 Mar (Sat),0,0,18,0,0,0,,,,,,,,,,,,,,,,,,
19 Mar (Sun),0,0,18,0,0,0,,,,,,,,,,,,,,,,,,
20 Mar (Mon),35,0,22,0,0,0,,,,,,,,,,,,,,,,,,
21 Mar (Tue),35,0,24,0,0,0,,,,,,,,,,,,,,,,,,
22 Mar (Wed),35,0,20,31,0,0,,,,,,,,,,,,,,,,,,
23 Mar (Thu),33,0,0,0,0,0,,,,,,,,,,,,,,,,,,
24 Mar (Fri),38,0,0,0,0,0,,,,,,,,,,,,,,,,,,
25 Mar (Sat),0,0,8,0,0,0,,,,,,,,,,,,,,,,,,
26 Mar (Sun),0,0,6,0,0,0,,,,,,,,,,,,,,,,,,
27 Mar (Mon),32,0,8,0,0,0,,,,,,,,,,,,,,,,,,
28 Mar (Tue),30,0,11,0,0,0,,,,,,,,,,,,,,,,,,
29 Mar (Wed),28,0,1,0,0,0,,,,,,,,,,,,,,,,,,
30 Mar (Thu),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
31 Mar (Fri),24,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1 Apr (Sat),4,0,15,0,0,0,,,,,,,,,,,,,,,,,,
2 Apr (Sun),2,0,13,0,0,0,,,,,,,,,,,,,,,,,,
3 Apr (Mon),30,0,10,0,0,0,,,,,,,,,,,,,,,,,,
4 Apr (Tue),32,0,13,0,0,0,,,,,,,,,,,,,,,,,,
5 Apr (Wed),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
6 Apr (Thu),25,0,0,0,0,0,,,,,,,,,,,,,,,,,,
7 Apr (Fri),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
8 Apr (Sat),0,0,20,0,0,0,,,,,,,,,,,,,,,,,,
9 Apr (Sun),0,0,12,0,0,0,,,,,,,,,,,,,,,,,,
10 Apr (Mon),34,0,10,0,0,0,,,,,,,,,,,,,,,,,,
11 Apr (Tue),34,0,12,0,0,0,,,,,,,,,,,,,,,,,,
12 Apr (Wed),29,0,6,0,0,0,,,,,,,,,,,,,,,,,,
13 Apr (Thu),30,0,0,0,0,0,,,,,,,,,,,,,,,,,,
14 Apr (Fri),34,0,0,0,0,0,,,,,,,,,,,,,,,,,,
15 Apr (Sat),0,0,16,0,0,0,,,,,,,,,,,,,,,,,,
16 Apr (Sun),0,0,3,0,0,0,,,,,,,,,,,,,,,,,,
17 Apr (Mon),30,0,2,0,0,0,,,,,,,,,,,,,,,,,,
