Date,Open Balances,Closed,New Cases
2022-08-24,1994,428,495
2022-08-25,1887,396,550
2022-08-26,1890,336,479
2022-08-27,1961,0,198
2022-08-28,2159,0,160
2022-08-29,2319,382,491
2022-08-30,2279,448,492
2022-08-31,2170,389,410
2022-09-01,1998,413,530
2022-09-02,1971,366,477
2022-09-03,2013,0,203
2022-09-04,2216,0,152
2022-09-05,2368,344,563
2022-09-06,2471,350,502
2022-09-07,2554,429,517
2022-09-08,2505,485,522
2022-09-09,2321,351,404
2022-09-10,2284,0,184
2022-09-11,2468,0,43
2022-09-12,2511,435,524
2022-09-13,2560,414,496
2022-09-14,2538,436,474
2022-09-15,2393,378,494
2022-09-16,2445,430,407
2022-09-17,2312,6,166
2022-09-18,2472,60,152
2022-09-19,2532,416,513
2022-09-20,2398,440,489
2022-09-21,2225,463,554
2022-09-22,2205,421,440
2022-09-23,2168,418,427
2022-09-24,2068,0,143
2022-09-25,2211,0,142
2022-09-26,2353,414,506
2022-09-27,2337,482,523
2022-09-28,2304,506,501
2022-09-29,2263,450,519
2022-09-30,2275,384,495
2022-10-01,2090,2,219
2022-10-02,2307,0,189
2022-10-03,2496,418,541
2022-10-04,2626,430,466
2022-10-05,2579,450,447
2022-10-06,2431,452,528
2022-10-07,2437,503,485
2022-10-08,2162,19,186
2022-10-09,2329,0,169
2022-10-10,2694,452,459
2022-10-11,2579,431,518
2022-10-12,2555,405,461
2022-10-13,2507,423,472
2022-10-14,2406,430,450
2022-10-15,2284,22,198
2022-10-16,2460,0,169
2022-10-17,2629,441,516
2022-10-18,2630,475,511
2022-10-19,2571,448,502
2022-10-20,2484,403,490
2022-10-21,2440,428,485
2022-10-22,2155,0,164
2022-10-23,2319,0,154
2022-10-24,2473,0,202
2022-10-25,2839,376,459
2022-10-26,2825,361,448
2022-10-27,2813,402,511
2022-10-28,2840,386,451
2022-10-29,2726,3,209
2022-10-30,2932,0,173
2022-10-31,3081,474,491
2022-11-01,2977,434,502
2022-11-02,2958,425,493
2022-11-03,2866,393,502
2022-11-04,2801,456,464
2022-11-05,2809,0,186
2022-11-06,2995,10,158
2022-11-07,3097,458,508
2022-11-08,3087,398,523
2022-11-09,3025,454,508
2022-11-10,2905,442,517
2022-11-11,2833,447,422
2022-11-12,2808,1,182
2022-11-13,2989,6,161
2022-11-14,2920,403,535
2022-11-15,3013,417,602
2022-11-16,3072,454,593
2022-11-17,3133,456,448
2022-11-18,3037,465,455
2022-11-19,3027,17,181
2022-11-20,3191,42,178
2022-11-21,3228,471,521
2022-11-22,3126,529,511
2022-11-23,2964,508,537
2022-11-24,2811,409,477
2022-11-25,2740,411,457
2022-11-26,2786,43,175
2022-11-27,2918,0,194
2022-11-28,3017,488,516
2022-11-29,2901,389,554
2022-11-30,2825,452,483
2022-12-01,2819,475,520
2022-12-02,2713,457,543
2022-12-03,2799,26,192
2022-12-04,2965,7,206
2022-12-05,3060,435,610
2022-12-06,3145,450,532
2022-12-07,3038,410,480
2022-12-08,2921,469,515
2022-12-09,2972,493,455
2022-12-10,2934,19,197
2022-12-11,3112,0,219
2022-12-12,3021,486,528
2022-12-13,3181,538,503
2022-12-14,3085,498,513
2022-12-15,2956,467,482
2022-12-16,2851,518,535
2022-12-17,2624,59,234
2022-12-18,2799,22,193
2022-12-19,2970,511,473
2022-12-20,2955,508,550
2022-12-21,2862,421,534
2022-12-22,2772,470,535
2022-12-23,2807,504,444
2022-12-24,2747,0,178
2022-12-25,2925,0,110
2022-12-26,3035,2,182
2022-12-27,3215,520,625
2022-12-28,3055,498,558
2022-12-29,2965,435,585
2022-12-30,2945,356,545
2022-12-31,3134,20,201
